2022-05-19 22:05:901 INFO  ManageDriver :30 - Launching Chrome Browser
2022-05-19 23:05:859 INFO  ManageDriver :30 - Launching Chrome Browser
2022-05-19 23:05:43 INFO  HomePage :37 - Hover mouse over Buy and Sell :[[ChromeDriver: chrome on WINDOWS (66fffdbf5e6e83b667a0fbdaf7001513)] -> xpath: //a[contains(text(),'buy + sell')]]
2022-05-19 23:05:768 INFO  HomePage :37 - Hover mouse over Buy and Sell :[[ChromeDriver: chrome on WINDOWS (66fffdbf5e6e83b667a0fbdaf7001513)] -> xpath: //a[contains(text(),'buy + sell')]]
2022-05-19 23:05:818 INFO  ManageDriver :30 - Launching Chrome Browser
2022-05-19 23:05:155 INFO  ManageDriver :30 - Launching Chrome Browser
2022-05-19 23:05:207 INFO  ManageDriver :30 - Launching Chrome Browser
2022-05-19 23:05:61 INFO  ManageDriver :30 - Launching Chrome Browser
2022-05-19 23:05:107 INFO  ManageDriver :30 - Launching Chrome Browser
2022-05-19 23:05:20 INFO  HomePage :37 - Hover mouse over Buy and Sell :[[ChromeDriver: chrome on WINDOWS (7b598885f3fe33e9a8c82dbee34b9afb)] -> xpath: //a[contains(text(),'buy + sell')]]
2022-05-19 23:05:873 INFO  HomePage :37 - Hover mouse over Buy and Sell :[[ChromeDriver: chrome on WINDOWS (7b598885f3fe33e9a8c82dbee34b9afb)] -> xpath: //a[contains(text(),'buy + sell')]]
2022-05-19 23:05:401 INFO  ManageDriver :30 - Launching Chrome Browser
2022-05-19 23:05:120 INFO  ManageDriver :30 - Launching Chrome Browser
2022-05-19 23:05:886 INFO  ManageDriver :30 - Launching Chrome Browser
2022-05-19 23:05:626 INFO  HomePage :37 - Hover mouse over Buy and Sell :[[ChromeDriver: chrome on WINDOWS (73f8f6769ed6f0f7f38cb0682d3ba6a8)] -> xpath: //a[contains(text(),'buy + sell')]]
2022-05-19 23:05:822 INFO  ManageDriver :30 - Launching Chrome Browser
2022-05-19 23:05:486 INFO  ManageDriver :30 - Launching Chrome Browser
2022-05-19 23:05:509 INFO  HomePage :37 - Hover mouse over Buy and Sell :[[ChromeDriver: chrome on WINDOWS (64366d2b3a39e9a03efb141f5bcc16b5)] -> xpath: //a[contains(text(),'buy + sell')]]
2022-05-19 23:05:781 INFO  HomePage :31 - Click on search car : [[ChromeDriver: chrome on WINDOWS (64366d2b3a39e9a03efb141f5bcc16b5)] -> xpath: //a[contains(text(),'Search Cars')]]
2022-05-19 23:05:799 INFO  ManageDriver :30 - Launching Chrome Browser
2022-05-19 23:05:742 INFO  HomePage :37 - Hover mouse over Buy and Sell :[[ChromeDriver: chrome on WINDOWS (7c12fa44530d86e0cad4b5faaf86c24e)] -> xpath: //a[contains(text(),'buy + sell')]]
2022-05-19 23:05:684 INFO  HomePage :31 - Click on search car : [[ChromeDriver: chrome on WINDOWS (7c12fa44530d86e0cad4b5faaf86c24e)] -> xpath: //a[contains(text(),'Search Cars')]]
2022-05-19 23:05:962 INFO  ManageDriver :30 - Launching Chrome Browser
2022-05-19 23:05:918 INFO  ManageDriver :30 - Launching Chrome Browser
2022-05-19 23:05:891 INFO  HomePage :37 - Hover mouse over Buy and Sell :[[ChromeDriver: chrome on WINDOWS (7832bad6300e93b6f612f297e3600336)] -> xpath: //a[contains(text(),'buy + sell')]]
2022-05-19 23:05:105 INFO  HomePage :31 - Click on search car : [[ChromeDriver: chrome on WINDOWS (7832bad6300e93b6f612f297e3600336)] -> xpath: //a[contains(text(),'Search Cars')]]
2022-05-19 23:05:955 INFO  ManageDriver :30 - Launching Chrome Browser
2022-05-19 23:05:186 INFO  HomePage :37 - Hover mouse over Buy and Sell :[[ChromeDriver: chrome on WINDOWS (2c4e911e3a3793b8dc7fc3a52aeaedcd)] -> xpath: //a[contains(text(),'buy + sell')]]
2022-05-19 23:05:993 INFO  HomePage :31 - Click on search car : [[ChromeDriver: chrome on WINDOWS (2c4e911e3a3793b8dc7fc3a52aeaedcd)] -> xpath: //a[contains(text(),'Search Cars')]]
2022-05-19 23:05:874 INFO  ManageDriver :30 - Launching Chrome Browser
2022-05-19 23:05:589 INFO  ManageDriver :30 - Launching Chrome Browser
2022-05-19 23:05:633 INFO  ManageDriver :30 - Launching Chrome Browser
2022-05-19 23:05:701 INFO  ManageDriver :30 - Launching Chrome Browser
2022-05-20 00:05:928 INFO  HomePage :37 - Hover mouse over Buy and Sell :[[ChromeDriver: chrome on WINDOWS (edabb93c4a9c21caa007446264176081)] -> xpath: //a[contains(text(),'buy + sell')]]
2022-05-20 00:05:528 INFO  HomePage :31 - Click on search car : [[ChromeDriver: chrome on WINDOWS (edabb93c4a9c21caa007446264176081)] -> xpath: //a[contains(text(),'Search Cars')]]
2022-05-20 00:05:784 INFO  ManageDriver :30 - Launching Chrome Browser
2022-05-20 00:05:495 INFO  HomePage :37 - Hover mouse over Buy and Sell :[[ChromeDriver: chrome on WINDOWS (ee0c2b58df2970420b7e57c56b61b336)] -> xpath: //a[contains(text(),'buy + sell')]]
2022-05-20 00:05:429 INFO  HomePage :31 - Click on search car : [[ChromeDriver: chrome on WINDOWS (ee0c2b58df2970420b7e57c56b61b336)] -> xpath: //a[contains(text(),'Search Cars')]]
2022-05-20 00:05:370 INFO  ManageDriver :30 - Launching Chrome Browser
2022-05-20 00:05:116 INFO  HomePage :37 - Hover mouse over Buy and Sell :[[ChromeDriver: chrome on WINDOWS (147afdb55b561cf0b5177a197f854725)] -> xpath: //a[contains(text(),'buy + sell')]]
2022-05-20 00:05:880 INFO  HomePage :31 - Click on search car : [[ChromeDriver: chrome on WINDOWS (147afdb55b561cf0b5177a197f854725)] -> xpath: //a[contains(text(),'Search Cars')]]
2022-05-20 00:05:49 INFO  HomePage :24 - Verify car make : Proxy element for: DefaultElementLocator 'By.xpath: //a[@value=PORSCHE]'
2022-05-20 00:05:382 INFO  ManageDriver :30 - Launching Chrome Browser
2022-05-20 00:05:241 INFO  ManageDriver :30 - Launching Chrome Browser
2022-05-20 00:05:806 INFO  ManageDriver :30 - Launching Chrome Browser
2022-05-20 00:05:841 INFO  HomePage :37 - Hover mouse over Buy and Sell :[[ChromeDriver: chrome on WINDOWS (a7ce274098ec4628aed113121d24f259)] -> xpath: //a[contains(text(),'buy + sell')]]
2022-05-20 00:05:45 INFO  HomePage :31 - Click on search car : [[ChromeDriver: chrome on WINDOWS (a7ce274098ec4628aed113121d24f259)] -> xpath: //a[contains(text(),'Search Cars')]]
2022-05-20 00:05:495 INFO  ManageDriver :30 - Launching Chrome Browser
2022-05-20 00:05:29 INFO  ManageDriver :30 - Launching Chrome Browser
2022-05-20 00:05:525 INFO  HomePage :44 - Hover mouse over Buy and Sell :[[ChromeDriver: chrome on WINDOWS (c203b92df525b6ffaeef0392d64bab1d)] -> xpath: //a[contains(text(),'buy + sell')]]
2022-05-20 00:05:707 INFO  HomePage :33 - Click on used link : [[ChromeDriver: chrome on WINDOWS (c203b92df525b6ffaeef0392d64bab1d)] -> link text: Used]
2022-05-20 00:05:309 INFO  ManageDriver :30 - Launching Chrome Browser
2022-05-20 00:05:799 INFO  HomePage :44 - Hover mouse over Buy and Sell :[[ChromeDriver: chrome on WINDOWS (026ab23f0e1c094c80efa1cea9ac81fe)] -> xpath: //a[contains(text(),'buy + sell')]]
2022-05-20 00:05:173 INFO  HomePage :38 - Click on search car : [[ChromeDriver: chrome on WINDOWS (026ab23f0e1c094c80efa1cea9ac81fe)] -> xpath: //a[contains(text(),'Search Cars')]]
2022-05-20 00:05:827 INFO  ManageDriver :30 - Launching Chrome Browser
2022-05-20 00:05:752 INFO  HomePage :44 - Hover mouse over Buy and Sell :[[ChromeDriver: chrome on WINDOWS (9eeb9c8ccc73ee66e9f7f9847c0fc31b)] -> xpath: //a[contains(text(),'buy + sell')]]
2022-05-20 00:05:477 INFO  HomePage :33 - Click on used link : [[ChromeDriver: chrome on WINDOWS (9eeb9c8ccc73ee66e9f7f9847c0fc31b)] -> link text: Used]
2022-05-20 00:05:33 INFO  ManageDriver :30 - Launching Chrome Browser
2022-05-20 00:05:836 INFO  HomePage :44 - Hover mouse over Buy and Sell :[[ChromeDriver: chrome on WINDOWS (1f6d52369f12e7bf94bd7fcd1e435386)] -> xpath: //a[contains(text(),'buy + sell')]]
2022-05-20 00:05:347 INFO  HomePage :38 - Click on search car : [[ChromeDriver: chrome on WINDOWS (1f6d52369f12e7bf94bd7fcd1e435386)] -> xpath: //a[contains(text(),'Search Cars')]]
2022-05-20 00:05:696 INFO  ManageDriver :30 - Launching Chrome Browser
2022-05-20 00:05:256 INFO  HomePage :44 - Hover mouse over Buy and Sell :[[ChromeDriver: chrome on WINDOWS (e48478e26cb59eaeecb4af5ce3671eb6)] -> xpath: //a[contains(text(),'buy + sell')]]
2022-05-20 00:05:750 INFO  HomePage :33 - Click on used link : [[ChromeDriver: chrome on WINDOWS (e48478e26cb59eaeecb4af5ce3671eb6)] -> link text: Used]
2022-05-20 00:05:495 INFO  HomePage :24 - Verify car make : Proxy element for: DefaultElementLocator 'By.xpath: //div[@class=cgLinkCustom make]'
2022-05-20 00:05:518 INFO  ManageDriver :30 - Launching Chrome Browser
2022-05-20 00:05:559 INFO  ManageDriver :30 - Launching Chrome Browser
2022-05-20 00:05:993 INFO  HomePage :44 - Hover mouse over Buy and Sell :[[ChromeDriver: chrome on WINDOWS (aa78f55c8ce8793c3f33a1b46360662a)] -> xpath: //a[contains(text(),'buy + sell')]]
